광역시도,지자체명,년도,월,일,요일,배출량(kg),배출량비율(일),배출회수,배출회수비율(일)
서울특별시,종로구,2017,11,11,7,"2,567,800",0.022367274,"1,550",0.026912105
서울특별시,종로구,2017,11,12,1,"3,008,150",0.02620302,"1,773",0.030783976
서울특별시,종로구,2017,11,13,2,"3,159,800",0.027523994,"1,814",0.031495844
서울특별시,종로구,2017,11,14,3,"2,820,600",0.024569333,"1,764",0.030627712
서울특별시,종로구,2017,11,15,4,"2,531,550",0.022051512,"1,611",0.027971227
서울특별시,종로구,2017,11,16,5,"2,646,350",0.023051497,"1,609",0.027936501
서울특별시,종로구,2017,11,17,6,"2,703,150",0.023546264,"1,630",0.028301117
서울특별시,종로구,2017,11,18,7,"2,516,350",0.021919109,"1,434",0.024898038
서울특별시,종로구,2017,11,19,1,"3,234,250",0.028172504,"1,746",0.030315184
서울특별시,종로구,2017,11,20,2,"3,332,800",0.029030941,"1,843",0.031999361
서울특별시,종로구,2017,11,21,3,"2,789,800",0.024301044,"1,621",0.028144853
서울특별시,종로구,2017,11,22,4,"2,833,400",0.024680829,"1,692",0.029377601
서울특별시,종로구,2017,11,23,5,"2,648,400",0.023069354,"1,631",0.02831848
서울특별시,종로구,2017,11,24,6,"2,744,100",0.023902966,"1,608",0.027919139
서울특별시,종로구,2017,11,25,7,"2,686,100",0.023397747,"1,423",0.024707049
서울특별시,종로구,2017,11,26,1,"3,486,900",0.030373256,"1,843",0.031999361
서울특별시,종로구,2017,11,27,2,"3,204,900",0.027916845,"1,803",0.031304855
서울특별시,종로구,2017,11,28,3,"2,973,000",0.02589684,"1,695",0.029429689
서울특별시,종로구,2017,11,29,4,"2,731,850",0.02379626,"1,604",0.027849688
서울특별시,종로구,2017,11,30,5,"2,531,300",0.022049334,"1,526",0.026495402
서울특별시,종로구,2017,12,01,6,"2,552,800",0.023509704,"1,521",0.027996216
서울특별시,종로구,2017,12,02,7,"2,694,300",0.024812831,"1,507",0.027738526
서울특별시,종로구,2017,12,03,1,"3,213,750",0.029596643,"1,782",0.032800301
서울특별시,종로구,2017,12,04,2,"3,110,900",0.028649459,"1,733",0.031898385
서울특별시,종로구,2017,12,05,3,"2,594,700",0.023895577,"1,564",0.028787694
서울특별시,종로구,2017,12,06,4,"2,481,550",0.022853536,"1,540",0.028345939
서울특별시,종로구,2017,12,07,5,"2,560,400",0.023579695,"1,552",0.028566816
서울특별시,종로구,2017,12,08,6,"2,457,750",0.022634353,"1,493",0.027480836
서울특별시,종로구,2017,12,09,7,"2,416,500",0.022254466,"1,410",0.0259531
서울특별시,종로구,2017,12,10,1,"2,870,300",0.026433682,"1,618",0.029781642
서울특별시,종로구,2017,12,11,2,"2,766,300",0.025475907,"1,594",0.029339888
서울특별시,종로구,2017,12,12,3,"2,415,600",0.022246177,"1,488",0.027388803
